stadiumId,name,location,capacity
S01907,Nam Dinh Park 1907,Nam Dinh,78500
S01908,Quy Nhon Dome 1908,Quy Nhon,26000
S01909,Da Nang National Stadium 1909,Da Nang,23000
S01910,Hai Phong Sports Complex 1910,Hai Phong,76500
S01911,Ho Chi Minh City Arena 1911,Ho Chi Minh City,26000
S01912,Hue National Stadium 1912,Hue,21500
S01913,Ho Chi Minh City Dome 1913,Ho Chi Minh City,51000
S01914,Hanoi National Stadium 1914,Hanoi,65500
S01915,Hue Park 1915,Hue,65000
S01916,Ho Chi Minh City National Stadium 1916,Ho Chi Minh City,32000
S01917,Nam Dinh Arena 1917,Nam Dinh,20500
S01918,Hue Sports Complex 1918,Hue,30000
S01919,Hai Phong Sports Complex 1919,Hai Phong,44000
S01920,Da Nang Arena 1920,Da Nang,49500
S01921,Da Nang National Stadium 1921,Da Nang,17500
S01922,Can Tho Sports Complex 1922,Can Tho,71500
S01923,Quy Nhon Dome 1923,Quy Nhon,79000
S01924,Binh Duong Sports Complex 1924,Binh Duong,51000
S01925,Quy Nhon Arena 1925,Quy Nhon,78500
S01926,Binh Duong Arena 1926,Binh Duong,53500
S01927,Nam Dinh Dome 1927,Nam Dinh,56500
S01928,Nam Dinh Dome 1928,Nam Dinh,49500
S01929,Binh Duong Sports Complex 1929,Binh Duong,74500
S01930,Can Tho Dome 1930,Can Tho,50500
S01931,Hai Phong National Stadium 1931,Hai Phong,44000
S01932,Nha Trang Sports Complex 1932,Nha Trang,42000
S01933,Nha Trang Arena 1933,Nha Trang,35000
S01934,Hanoi National Stadium 1934,Hanoi,49500
S01935,Da Nang Sports Complex 1935,Da Nang,34000
S01936,Quy Nhon Park 1936,Quy Nhon,15500
S01937,Quy Nhon Dome 1937,Quy Nhon,34500
S01938,Hanoi Dome 1938,Hanoi,67500
S01939,Nha Trang Park 1939,Nha Trang,30000
S01940,Hanoi Park 1940,Hanoi,39500
S01941,Hai Phong Dome 1941,Hai Phong,73000
S01942,Binh Duong Dome 1942,Binh Duong,41000
S01943,Hai Phong Arena 1943,Hai Phong,62000
S01944,Hue Dome 1944,Hue,29500
S01945,Nha Trang National Stadium 1945,Nha Trang,42500
S01946,Hai Phong Park 1946,Hai Phong,65000
S01947,Nam Dinh Sports Complex 1947,Nam Dinh,33500
S01948,Binh Duong Sports Complex 1948,Binh Duong,42000
S01949,Hai Phong National Stadium 1949,Hai Phong,27000
S01950,Da Nang Sports Complex 1950,Da Nang,22000
S01951,Quy Nhon Park 1951,Quy Nhon,44500
S01952,Nha Trang Park 1952,Nha Trang,47000
S01953,Hai Phong Sports Complex 1953,Hai Phong,16500
S01954,Da Nang National Stadium 1954,Da Nang,78500
S01955,Binh Duong National Stadium 1955,Binh Duong,27000
S01956,Ho Chi Minh City Sports Complex 1956,Ho Chi Minh City,32500
S01957,Da Nang Dome 1957,Da Nang,62500
S01958,Hanoi Arena 1958,Hanoi,21000
S01959,Da Nang National Stadium 1959,Da Nang,47500
S01960,Hai Phong Sports Complex 1960,Hai Phong,42500
S01961,Nha Trang Dome 1961,Nha Trang,39500
S01962,Quy Nhon National Stadium 1962,Quy Nhon,36500
S01963,Ho Chi Minh City Arena 1963,Ho Chi Minh City,18500
S01964,Nha Trang Dome 1964,Nha Trang,19500
S01965,Binh Duong Dome 1965,Binh Duong,27000
S01966,Hai Phong Sports Complex 1966,Hai Phong,68500
S01967,Hue National Stadium 1967,Hue,23000
S01968,Hai Phong Dome 1968,Hai Phong,65500
S01969,Quy Nhon Arena 1969,Quy Nhon,63500
S01970,Hanoi Arena 1970,Hanoi,45000
S01971,Ho Chi Minh City Park 1971,Ho Chi Minh City,58500
S01972,Hai Phong Dome 1972,Hai Phong,40500
S01973,Nha Trang Sports Complex 1973,Nha Trang,25500
S01974,Hanoi Park 1974,Hanoi,49000
S01975,Ho Chi Minh City Sports Complex 1975,Ho Chi Minh City,46500
S01976,Nha Trang Arena 1976,Nha Trang,38500
S01977,Hanoi Arena 1977,Hanoi,79000
S01978,Ho Chi Minh City Arena 1978,Ho Chi Minh City,56500
S01979,Hue Sports Complex 1979,Hue,16000
S01980,Da Nang Sports Complex 1980,Da Nang,53500
S01981,Ho Chi Minh City Dome 1981,Ho Chi Minh City,66500
S01982,Hai Phong National Stadium 1982,Hai Phong,78500
S01983,Hanoi Park 1983,Hanoi,66500
S01984,Quy Nhon Park 1984,Quy Nhon,25000
S01985,Can Tho National Stadium 1985,Can Tho,31500
S01986,Da Nang Dome 1986,Da Nang,21000
S01987,Nam Dinh Sports Complex 1987,Nam Dinh,76000
S01988,Hanoi National Stadium 1988,Hanoi,38500
S01989,Da Nang Park 1989,Da Nang,67000
S01990,Ho Chi Minh City Arena 1990,Ho Chi Minh City,47000
S01991,Hai Phong Sports Complex 1991,Hai Phong,79500
S01992,Binh Duong Sports Complex 1992,Binh Duong,68000
S01993,Quy Nhon Arena 1993,Quy Nhon,16500
S01994,Hue Sports Complex 1994,Hue,62500
S01995,Da Nang Sports Complex 1995,Da Nang,74000
S01996,Hanoi Dome 1996,Hanoi,61500
S01997,Quy Nhon Park 1997,Quy Nhon,34500
S01998,Binh Duong Dome 1998,Binh Duong,27500
S01999,Nam Dinh Arena 1999,Nam Dinh,50500
S02000,Can Tho Sports Complex 2000,Can Tho,63000
S02001,Quy Nhon Sports Complex 2001,Quy Nhon,72000
S02002,Nam Dinh Park 2002,Nam Dinh,25500
S02003,Ho Chi Minh City Park 2003,Ho Chi Minh City,25000
S02004,Quy Nhon Sports Complex 2004,Quy Nhon,68500
S02005,Nha Trang Park 2005,Nha Trang,39000
S02006,Quy Nhon National Stadium 2006,Quy Nhon,66000
S02007,Binh Duong Dome 2007,Binh Duong,63000
S02008,Da Nang National Stadium 2008,Da Nang,55500
S02009,Can Tho Park 2009,Can Tho,30500
S02010,Can Tho National Stadium 2010,Can Tho,58000
S02011,Binh Duong Dome 2011,Binh Duong,27500
S02012,Binh Duong Dome 2012,Binh Duong,65000
S02013,Binh Duong Arena 2013,Binh Duong,55000
S02014,Nha Trang Sports Complex 2014,Nha Trang,42000
S02015,Can Tho National Stadium 2015,Can Tho,21500
S02016,Binh Duong National Stadium 2016,Binh Duong,18000
S02017,Da Nang Arena 2017,Da Nang,72000
S02018,Hanoi Arena 2018,Hanoi,22000
S02019,Quy Nhon Arena 2019,Quy Nhon,21500
S02020,Hanoi Park 2020,Hanoi,57000
S02021,Hue Dome 2021,Hue,49500
S02022,Nam Dinh Park 2022,Nam Dinh,32000
S02023,Hanoi Sports Complex 2023,Hanoi,29500
S02024,Nam Dinh National Stadium 2024,Nam Dinh,16000
S02025,Hai Phong Dome 2025,Hai Phong,76000
S02026,Ho Chi Minh City Dome 2026,Ho Chi Minh City,67500
S02027,Hanoi Sports Complex 2027,Hanoi,51500
S02028,Hue Sports Complex 2028,Hue,67000
S02029,Hanoi Park 2029,Hanoi,32500
S02030,Binh Duong National Stadium 2030,Binh Duong,63000
S02031,Ho Chi Minh City Sports Complex 2031,Ho Chi Minh City,20000
S02032,Hai Phong Park 2032,Hai Phong,21500
S02033,Ho Chi Minh City Arena 2033,Ho Chi Minh City,50000
S02034,Hue Arena 2034,Hue,27500
S02035,Binh Duong Arena 2035,Binh Duong,52500
S02036,Da Nang Park 2036,Da Nang,64000
S02037,Binh Duong Dome 2037,Binh Duong,64000
S02038,Ho Chi Minh City Park 2038,Ho Chi Minh City,38500
S02039,Quy Nhon Dome 2039,Quy Nhon,73000
S02040,Ho Chi Minh City Arena 2040,Ho Chi Minh City,67000
S02041,Da Nang Park 2041,Da Nang,41500
S02042,Binh Duong Sports Complex 2042,Binh Duong,58000
S02043,Da Nang Park 2043,Da Nang,54500
S02044,Quy Nhon Sports Complex 2044,Quy Nhon,74000
S02045,Can Tho Park 2045,Can Tho,80000
S02046,Can Tho Sports Complex 2046,Can Tho,42000
S02047,Hue Sports Complex 2047,Hue,55000
S02048,Hai Phong Park 2048,Hai Phong,51000
S02049,Hai Phong Dome 2049,Hai Phong,65000
S02050,Binh Duong Sports Complex 2050,Binh Duong,38500
S02051,Quy Nhon Dome 2051,Quy Nhon,78000
S02052,Hue National Stadium 2052,Hue,62500
S02053,Hanoi Sports Complex 2053,Hanoi,54000
S02054,Hanoi Park 2054,Hanoi,24000
S02055,Nha Trang National Stadium 2055,Nha Trang,34500
S02056,Hai Phong Arena 2056,Hai Phong,71000
S02057,Can Tho National Stadium 2057,Can Tho,65500
S02058,Nha Trang Park 2058,Nha Trang,48500
S02059,Binh Duong Park 2059,Binh Duong,75500
S02060,Nam Dinh Arena 2060,Nam Dinh,21000
S02061,Hanoi Dome 2061,Hanoi,38500
S02062,Da Nang Arena 2062,Da Nang,32500
S02063,Can Tho Park 2063,Can Tho,31500
S02064,Hai Phong Sports Complex 2064,Hai Phong,68000
S02065,Nha Trang National Stadium 2065,Nha Trang,52500
S02066,Hue Park 2066,Hue,75000
S02067,Hai Phong National Stadium 2067,Hai Phong,62500
S02068,Can Tho Dome 2068,Can Tho,26500
S02069,Quy Nhon Park 2069,Quy Nhon,68500
S02070,Ho Chi Minh City Park 2070,Ho Chi Minh City,57000
S02071,Nha Trang National Stadium 2071,Nha Trang,63000
S02072,Nam Dinh Dome 2072,Nam Dinh,20000
S02073,Hanoi Sports Complex 2073,Hanoi,38000
S02074,Hue Dome 2074,Hue,76000
S02075,Ho Chi Minh City Arena 2075,Ho Chi Minh City,64000
S02076,Nam Dinh National Stadium 2076,Nam Dinh,56500
S02077,Hue National Stadium 2077,Hue,35000
S02078,Binh Duong National Stadium 2078,Binh Duong,36000
S02079,Binh Duong Park 2079,Binh Duong,25000
S02080,Can Tho Park 2080,Can Tho,60500
S02081,Hai Phong Arena 2081,Hai Phong,18500
S02082,Hue Dome 2082,Hue,64500
S02083,Nam Dinh Park 2083,Nam Dinh,48000
S02084,Ho Chi Minh City Arena 2084,Ho Chi Minh City,43500
S02085,Nha Trang Dome 2085,Nha Trang,24500
S02086,Da Nang Sports Complex 2086,Da Nang,20500
S02087,Quy Nhon Park 2087,Quy Nhon,64000
S02088,Hanoi Park 2088,Hanoi,41000
S02089,Nha Trang National Stadium 2089,Nha Trang,41000
S02090,Binh Duong Dome 2090,Binh Duong,65500
S02091,Da Nang Arena 2091,Da Nang,46500
S02092,Binh Duong Arena 2092,Binh Duong,47000
S02093,Hue Park 2093,Hue,28000
S02094,Binh Duong Park 2094,Binh Duong,63000
S02095,Binh Duong Arena 2095,Binh Duong,31000
S02096,Ho Chi Minh City Sports Complex 2096,Ho Chi Minh City,66000
S02097,Hue Sports Complex 2097,Hue,60000
S02098,Nam Dinh National Stadium 2098,Nam Dinh,22500
S02099,Hue Dome 2099,Hue,39000
S02100,Can Tho Arena 2100,Can Tho,36000
S02101,Can Tho Park 2101,Can Tho,58000
S02102,Hanoi Sports Complex 2102,Hanoi,26000
S02103,Can Tho Park 2103,Can Tho,69000
S02104,Quy Nhon Park 2104,Quy Nhon,24500
S02105,Quy Nhon National Stadium 2105,Quy Nhon,75500
S02106,Hai Phong Arena 2106,Hai Phong,60000
S02107,Can Tho Arena 2107,Can Tho,64500
S02108,Ho Chi Minh City National Stadium 2108,Ho Chi Minh City,63500
S02109,Hanoi Arena 2109,Hanoi,77000
S02110,Nam Dinh Arena 2110,Nam Dinh,72000
S02111,Nha Trang National Stadium 2111,Nha Trang,37500
S02112,Ho Chi Minh City Sports Complex 2112,Ho Chi Minh City,44500
S02113,Quy Nhon National Stadium 2113,Quy Nhon,36500
S02114,Hai Phong Park 2114,Hai Phong,29000
S02115,Hai Phong Park 2115,Hai Phong,49500
S02116,Nha Trang Park 2116,Nha Trang,46500
S02117,Nam Dinh Arena 2117,Nam Dinh,60500
S02118,Hanoi Dome 2118,Hanoi,53000
S02119,Binh Duong National Stadium 2119,Binh Duong,31500
S02120,Da Nang National Stadium 2120,Da Nang,33500
S02121,Hai Phong Park 2121,Hai Phong,33000
S02122,Hanoi Dome 2122,Hanoi,58000
S02123,Hanoi National Stadium 2123,Hanoi,40500
S02124,Nha Trang Sports Complex 2124,Nha Trang,71500
S02125,Ho Chi Minh City National Stadium 2125,Ho Chi Minh City,34000
S02126,Hue Arena 2126,Hue,79000
S02127,Hue Park 2127,Hue,79000
S02128,Ho Chi Minh City Sports Complex 2128,Ho Chi Minh City,47000
S02129,Nam Dinh Park 2129,Nam Dinh,21000
S02130,Da Nang Arena 2130,Da Nang,48000
S02131,Quy Nhon Park 2131,Quy Nhon,75500
S02132,Hanoi National Stadium 2132,Hanoi,31000
S02133,Binh Duong Sports Complex 2133,Binh Duong,37000
S02134,Quy Nhon Dome 2134,Quy Nhon,64000
S02135,Da Nang National Stadium 2135,Da Nang,37500
S02136,Can Tho Sports Complex 2136,Can Tho,56000
S02137,Nha Trang Arena 2137,Nha Trang,79000
S02138,Binh Duong Sports Complex 2138,Binh Duong,68000
S02139,Hanoi Sports Complex 2139,Hanoi,72500
S02140,Hue National Stadium 2140,Hue,77000
S02141,Binh Duong Sports Complex 2141,Binh Duong,30000
S02142,Da Nang Sports Complex 2142,Da Nang,74000
S02143,Hue Arena 2143,Hue,21000
S02144,Hue Park 2144,Hue,78000
S02145,Nam Dinh Arena 2145,Nam Dinh,42500
S02146,Hai Phong Park 2146,Hai Phong,25000
S02147,Hue Sports Complex 2147,Hue,74500
S02148,Nam Dinh Sports Complex 2148,Nam Dinh,44500
S02149,Binh Duong Arena 2149,Binh Duong,28500
S02150,Da Nang Park 2150,Da Nang,50500
S02151,Hai Phong Arena 2151,Hai Phong,35000
S02152,Binh Duong Arena 2152,Binh Duong,43000
S02153,Da Nang Park 2153,Da Nang,75000
S02154,Da Nang Sports Complex 2154,Da Nang,19500
S02155,Binh Duong Park 2155,Binh Duong,77000
S02156,Ho Chi Minh City Arena 2156,Ho Chi Minh City,36000
S02157,Da Nang National Stadium 2157,Da Nang,65000
S02158,Can Tho Dome 2158,Can Tho,78000
S02159,Hue Sports Complex 2159,Hue,44000
S02160,Nha Trang Arena 2160,Nha Trang,66000
S02161,Hai Phong National Stadium 2161,Hai Phong,23500
S02162,Da Nang National Stadium 2162,Da Nang,65000
S02163,Nam Dinh Park 2163,Nam Dinh,32500
S02164,Nam Dinh Park 2164,Nam Dinh,55000
S02165,Hai Phong Park 2165,Hai Phong,30000
S02166,Hai Phong National Stadium 2166,Hai Phong,38500
S02167,Ho Chi Minh City Dome 2167,Ho Chi Minh City,24000
S02168,Binh Duong Park 2168,Binh Duong,45500
S02169,Can Tho Arena 2169,Can Tho,71000
S02170,Hue Dome 2170,Hue,46000
S02171,Da Nang Arena 2171,Da Nang,27500
S02172,Hai Phong National Stadium 2172,Hai Phong,42000
S02173,Hanoi Sports Complex 2173,Hanoi,77500
S02174,Hue Arena 2174,Hue,63500
S02175,Hai Phong Arena 2175,Hai Phong,19500
S02176,Da Nang Dome 2176,Da Nang,72000
S02177,Nam Dinh Dome 2177,Nam Dinh,60000
S02178,Can Tho Dome 2178,Can Tho,73000
S02179,Hai Phong Dome 2179,Hai Phong,41500
S02180,Hanoi Park 2180,Hanoi,63000
S02181,Hue Sports Complex 2181,Hue,41000
S02182,Nam Dinh Park 2182,Nam Dinh,54000
S02183,Binh Duong Park 2183,Binh Duong,57000
S02184,Hanoi Park 2184,Hanoi,22000
S02185,Quy Nhon Dome 2185,Quy Nhon,69000
S02186,Hanoi Arena 2186,Hanoi,49000
S02187,Binh Duong Dome 2187,Binh Duong,79500
S02188,Hanoi Park 2188,Hanoi,40500
S02189,Binh Duong National Stadium 2189,Binh Duong,27500
S02190,Nha Trang Dome 2190,Nha Trang,41000
S02191,Nha Trang Sports Complex 2191,Nha Trang,45000
S02192,Da Nang Dome 2192,Da Nang,34500
S02193,Nam Dinh National Stadium 2193,Nam Dinh,60000
S02194,Binh Duong Arena 2194,Binh Duong,45500
S02195,Quy Nhon National Stadium 2195,Quy Nhon,62500
S02196,Binh Duong National Stadium 2196,Binh Duong,27000
S02197,Nam Dinh Park 2197,Nam Dinh,24000
S02198,Hue Dome 2198,Hue,36000
S02199,Quy Nhon National Stadium 2199,Quy Nhon,26500
S02200,Quy Nhon Park 2200,Quy Nhon,74000
S02201,Hai Phong Dome 2201,Hai Phong,21000
S02202,Nha Trang Sports Complex 2202,Nha Trang,60500
S02203,Da Nang National Stadium 2203,Da Nang,21000
S02204,Ho Chi Minh City Dome 2204,Ho Chi Minh City,56500
S02205,Can Tho National Stadium 2205,Can Tho,49500
S02206,Hue Park 2206,Hue,55000
S02207,Da Nang Dome 2207,Da Nang,51000
S02208,Hue National Stadium 2208,Hue,65500
S02209,Da Nang Sports Complex 2209,Da Nang,52000
S02210,Da Nang Arena 2210,Da Nang,72000
S02211,Da Nang Arena 2211,Da Nang,65500
S02212,Hanoi Dome 2212,Hanoi,35000
S02213,Nha Trang Dome 2213,Nha Trang,34000
S02214,Da Nang National Stadium 2214,Da Nang,74000
S02215,Da Nang Arena 2215,Da Nang,15000
S02216,Nam Dinh Sports Complex 2216,Nam Dinh,16000
S02217,Quy Nhon Dome 2217,Quy Nhon,71000
S02218,Quy Nhon Park 2218,Quy Nhon,68000
S02219,Hanoi Park 2219,Hanoi,73000
S02220,Quy Nhon Arena 2220,Quy Nhon,29000
S02221,Nam Dinh Dome 2221,Nam Dinh,44500
S02222,Hue Dome 2222,Hue,20000
S02223,Nam Dinh Park 2223,Nam Dinh,15500
S02224,Hai Phong Park 2224,Hai Phong,33000
S02225,Nam Dinh Park 2225,Nam Dinh,68500
S02226,Hai Phong National Stadium 2226,Hai Phong,27000
S02227,Da Nang National Stadium 2227,Da Nang,58000
S02228,Can Tho National Stadium 2228,Can Tho,24500
S02229,Hanoi Park 2229,Hanoi,70000
S02230,Nam Dinh Sports Complex 2230,Nam Dinh,36500
S02231,Ho Chi Minh City National Stadium 2231,Ho Chi Minh City,22000
S02232,Hue Arena 2232,Hue,25500
S02233,Nha Trang Park 2233,Nha Trang,58500
S02234,Nam Dinh Park 2234,Nam Dinh,66500
S02235,Binh Duong Arena 2235,Binh Duong,78500
S02236,Quy Nhon Park 2236,Quy Nhon,38500
S02237,Hanoi National Stadium 2237,Hanoi,65500
S02238,Nha Trang Sports Complex 2238,Nha Trang,39000
S02239,Hue National Stadium 2239,Hue,64500
S02240,Hue Park 2240,Hue,19500
S02241,Nha Trang Dome 2241,Nha Trang,24000
S02242,Ho Chi Minh City Sports Complex 2242,Ho Chi Minh City,36500
S02243,Binh Duong Dome 2243,Binh Duong,49500
S02244,Hai Phong Arena 2244,Hai Phong,55000
S02245,Hanoi National Stadium 2245,Hanoi,52500
S02246,Binh Duong National Stadium 2246,Binh Duong,46500
S02247,Nam Dinh Sports Complex 2247,Nam Dinh,43000
S02248,Nam Dinh Sports Complex 2248,Nam Dinh,32000
S02249,Binh Duong Park 2249,Binh Duong,56000
S02250,Can Tho Arena 2250,Can Tho,55500
S02251,Nam Dinh Dome 2251,Nam Dinh,49000
S02252,Quy Nhon Dome 2252,Quy Nhon,68000
S02253,Da Nang Park 2253,Da Nang,30500
S02254,Nha Trang Arena 2254,Nha Trang,15000
S02255,Ho Chi Minh City National Stadium 2255,Ho Chi Minh City,45500
S02256,Ho Chi Minh City Arena 2256,Ho Chi Minh City,67500
S02257,Nam Dinh Dome 2257,Nam Dinh,42000
S02258,Hanoi Sports Complex 2258,Hanoi,38000
S02259,Binh Duong Arena 2259,Binh Duong,15500
S02260,Hai Phong Sports Complex 2260,Hai Phong,31500
S02261,Ho Chi Minh City Sports Complex 2261,Ho Chi Minh City,34500
S02262,Binh Duong Park 2262,Binh Duong,36000
S02263,Hanoi National Stadium 2263,Hanoi,60000
S02264,Can Tho Sports Complex 2264,Can Tho,41000
S02265,Nam Dinh Park 2265,Nam Dinh,78000
S02266,Hanoi Arena 2266,Hanoi,27500
S02267,Can Tho Sports Complex 2267,Can Tho,75500
S02268,Quy Nhon Dome 2268,Quy Nhon,67000
S02269,Hanoi Arena 2269,Hanoi,46500
S02270,Da Nang Dome 2270,Da Nang,73500
S02271,Binh Duong Sports Complex 2271,Binh Duong,45500
S02272,Hue National Stadium 2272,Hue,69500
S02273,Binh Duong Sports Complex 2273,Binh Duong,52000
S02274,Can Tho Park 2274,Can Tho,50000
S02275,Hanoi Arena 2275,Hanoi,53000
S02276,Can Tho Sports Complex 2276,Can Tho,19500
S02277,Da Nang Sports Complex 2277,Da Nang,70000
S02278,Hanoi Sports Complex 2278,Hanoi,79500
S02279,Hue Park 2279,Hue,70000
S02280,Da Nang Park 2280,Da Nang,54500
S02281,Hue Arena 2281,Hue,54000
S02282,Ho Chi Minh City Sports Complex 2282,Ho Chi Minh City,61000
S02283,Can Tho National Stadium 2283,Can Tho,33000
S02284,Hue National Stadium 2284,Hue,47500
S02285,Hai Phong Sports Complex 2285,Hai Phong,44500
S02286,Nha Trang Arena 2286,Nha Trang,49500
S02287,Nha Trang Arena 2287,Nha Trang,22500
S02288,Can Tho National Stadium 2288,Can Tho,66000
S02289,Hai Phong National Stadium 2289,Hai Phong,44000
S02290,Binh Duong National Stadium 2290,Binh Duong,67500
S02291,Quy Nhon Park 2291,Quy Nhon,25000
S02292,Hai Phong Sports Complex 2292,Hai Phong,75500
S02293,Quy Nhon Park 2293,Quy Nhon,35500
S02294,Can Tho Arena 2294,Can Tho,65500
S02295,Ho Chi Minh City Park 2295,Ho Chi Minh City,59500
S02296,Da Nang Arena 2296,Da Nang,62500
S02297,Hanoi Dome 2297,Hanoi,40500
S02298,Binh Duong National Stadium 2298,Binh Duong,15500
S02299,Nha Trang National Stadium 2299,Nha Trang,60000
S02300,Nam Dinh National Stadium 2300,Nam Dinh,37000
S02301,Quy Nhon National Stadium 2301,Quy Nhon,22000
S02302,Binh Duong Sports Complex 2302,Binh Duong,16500
S02303,Nam Dinh Sports Complex 2303,Nam Dinh,57000
S02304,Hai Phong Sports Complex 2304,Hai Phong,28000
S02305,Hai Phong Sports Complex 2305,Hai Phong,33000
S02306,Binh Duong Sports Complex 2306,Binh Duong,65500
S02307,Quy Nhon National Stadium 2307,Quy Nhon,33000
S02308,Da Nang Arena 2308,Da Nang,33000
S02309,Ho Chi Minh City National Stadium 2309,Ho Chi Minh City,78000
S02310,Nam Dinh Park 2310,Nam Dinh,48500
S02311,Ho Chi Minh City Arena 2311,Ho Chi Minh City,50500
S02312,Can Tho Park 2312,Can Tho,36000
S02313,Nha Trang Arena 2313,Nha Trang,77000
S02314,Nha Trang Park 2314,Nha Trang,31000
S02315,Da Nang National Stadium 2315,Da Nang,35500
S02316,Nam Dinh Sports Complex 2316,Nam Dinh,50500
S02317,Quy Nhon National Stadium 2317,Quy Nhon,23500
S02318,Hanoi Dome 2318,Hanoi,74000
S02319,Hanoi National Stadium 2319,Hanoi,40000
S02320,Hanoi National Stadium 2320,Hanoi,43000
S02321,Hue Arena 2321,Hue,61000
S02322,Nam Dinh Park 2322,Nam Dinh,56500
S02323,Quy Nhon Park 2323,Quy Nhon,38500
S02324,Nha Trang Sports Complex 2324,Nha Trang,68500
S02325,Hai Phong Park 2325,Hai Phong,20000
S02326,Quy Nhon Park 2326,Quy Nhon,23500
S02327,Ho Chi Minh City Dome 2327,Ho Chi Minh City,21500
S02328,Quy Nhon Sports Complex 2328,Quy Nhon,60000
S02329,Quy Nhon Dome 2329,Quy Nhon,30000
S02330,Hai Phong Arena 2330,Hai Phong,71500
S02331,Nam Dinh Sports Complex 2331,Nam Dinh,75000
S02332,Can Tho Dome 2332,Can Tho,27000
S02333,Can Tho Sports Complex 2333,Can Tho,44500
S02334,Quy Nhon National Stadium 2334,Quy Nhon,19500
S02335,Quy Nhon National Stadium 2335,Quy Nhon,38000
S02336,Quy Nhon Dome 2336,Quy Nhon,70500
S02337,Da Nang Sports Complex 2337,Da Nang,65500
S02338,Can Tho Park 2338,Can Tho,52500
S02339,Da Nang Park 2339,Da Nang,21500
S02340,Hue National Stadium 2340,Hue,36500
S02341,Binh Duong National Stadium 2341,Binh Duong,67000
S02342,Nha Trang Park 2342,Nha Trang,45000
S02343,Hue Park 2343,Hue,42000
S02344,Hai Phong Park 2344,Hai Phong,31000
S02345,Binh Duong Arena 2345,Binh Duong,79000
S02346,Quy Nhon Dome 2346,Quy Nhon,19500
S02347,Can Tho Arena 2347,Can Tho,68500
S02348,Nam Dinh Dome 2348,Nam Dinh,66500
S02349,Hue Park 2349,Hue,66500
S02350,Can Tho Park 2350,Can Tho,60500
S02351,Hai Phong Arena 2351,Hai Phong,58500
S02352,Ho Chi Minh City Park 2352,Ho Chi Minh City,70000
S02353,Quy Nhon National Stadium 2353,Quy Nhon,54000
S02354,Nam Dinh Dome 2354,Nam Dinh,36500
S02355,Binh Duong National Stadium 2355,Binh Duong,69000
S02356,Quy Nhon Arena 2356,Quy Nhon,35000
S02357,Hue National Stadium 2357,Hue,54000
S02358,Ho Chi Minh City Park 2358,Ho Chi Minh City,65500
S02359,Hue Sports Complex 2359,Hue,47500
S02360,Hanoi National Stadium 2360,Hanoi,29500
S02361,Da Nang Park 2361,Da Nang,74000
S02362,Hanoi Arena 2362,Hanoi,58500
S02363,Da Nang Dome 2363,Da Nang,50000
S02364,Nha Trang Dome 2364,Nha Trang,55500
S02365,Nam Dinh Dome 2365,Nam Dinh,28000
S02366,Hai Phong Sports Complex 2366,Hai Phong,34500
S02367,Nam Dinh Sports Complex 2367,Nam Dinh,75000
S02368,Hue Sports Complex 2368,Hue,80000
S02369,Ho Chi Minh City Park 2369,Ho Chi Minh City,15500
S02370,Nam Dinh Park 2370,Nam Dinh,41500
S02371,Da Nang Sports Complex 2371,Da Nang,19000
S02372,Can Tho Park 2372,Can Tho,78500
S02373,Hanoi National Stadium 2373,Hanoi,61000
S02374,Binh Duong Sports Complex 2374,Binh Duong,22000
S02375,Nha Trang National Stadium 2375,Nha Trang,30500
S02376,Hue Park 2376,Hue,41000
S02377,Can Tho Dome 2377,Can Tho,41500
S02378,Hue Dome 2378,Hue,50500
S02379,Hai Phong Arena 2379,Hai Phong,46000
S02380,Da Nang Arena 2380,Da Nang,51500
S02381,Hue Sports Complex 2381,Hue,70000
S02382,Hue Arena 2382,Hue,34000
S02383,Da Nang Arena 2383,Da Nang,16000
S02384,Ho Chi Minh City National Stadium 2384,Ho Chi Minh City,24500
S02385,Quy Nhon Dome 2385,Quy Nhon,79000
S02386,Da Nang National Stadium 2386,Da Nang,24000
S02387,Hue Dome 2387,Hue,73500
S02388,Nam Dinh Dome 2388,Nam Dinh,56000
S02389,Da Nang Dome 2389,Da Nang,48500
S02390,Hue Park 2390,Hue,68500
S02391,Quy Nhon Dome 2391,Quy Nhon,38500
S02392,Hai Phong Arena 2392,Hai Phong,43000
S02393,Nam Dinh National Stadium 2393,Nam Dinh,53000
S02394,Quy Nhon Arena 2394,Quy Nhon,61500
S02395,Binh Duong Sports Complex 2395,Binh Duong,42000
S02396,Binh Duong Park 2396,Binh Duong,39000
S02397,Hanoi National Stadium 2397,Hanoi,52000
S02398,Quy Nhon Sports Complex 2398,Quy Nhon,22500
S02399,Nam Dinh Dome 2399,Nam Dinh,78000
S02400,Ho Chi Minh City Arena 2400,Ho Chi Minh City,63000
S02401,Binh Duong Sports Complex 2401,Binh Duong,45500
S02402,Binh Duong National Stadium 2402,Binh Duong,49500
S02403,Nam Dinh National Stadium 2403,Nam Dinh,31000
S02404,Quy Nhon National Stadium 2404,Quy Nhon,60000
S02405,Binh Duong Park 2405,Binh Duong,35500
S02406,Nam Dinh National Stadium 2406,Nam Dinh,74000
S02407,Can Tho Park 2407,Can Tho,66000
S02408,Hanoi Dome 2408,Hanoi,45000
S02409,Binh Duong Dome 2409,Binh Duong,52500
S02410,Can Tho Dome 2410,Can Tho,38000
S02411,Nha Trang Sports Complex 2411,Nha Trang,26000
